MLP,,,,,,,,,,,,,,,,,
y,acc_mean,acc_std,precision_0_mean,precision_0_std,precision_1_mean,precision_1_std,recall_0_mean,recall_0_std,recall_1_mean,recall_1_std,F1_0_mean,F1_0_std,F1_1_mean,F1_1_std,x_col,,
0.4,0.742,0.011110938,0.793159227,0.001629197,0.312524366,0.011473219,0.906428571,0.02193838,0.151282051,0.028218075,0.845890391,0.008818409,0.201962833,0.023605339,1,,
0.5,0.742,0.006,0.793495943,0.000735294,0.313048246,0.007583514,0.905714286,0.010540926,0.153846154,0.012087295,0.845871679,0.004471251,0.205921282,0.009742743,1,,
0.35,0.548,0.24890898,0.639683707,0.328451512,0.248566585,0.078491672,0.577406015,0.419919846,0.456410256,0.398151374,0.558001821,0.383418101,0.249148188,0.087183728,2,,
0.35,0.626,0.231558209,0.699705208,0.279535921,0.292684943,0.096740851,0.697742221,0.382646005,0.347863248,0.360592748,0.663420486,0.345628831,0.224874142,0.085607815,3,,
0.35,0.670,0.213892831,0.72743805,0.245912446,0.302013707,0.121459931,0.768985678,0.352892143,0.272435897,0.338262623,0.719655914,0.313946382,0.188406043,0.100789959,4,,
0.35,0.699,0.199650654,0.746480714,0.222736842,0.308277632,0.109096047,0.812716633,0.326995432,0.223589744,0.317523052,0.755249415,0.28916913,0.161074041,0.105668578,5,,
0.35,0.704,0.182879751,0.7548403,0.203885593,0.314184767,0.101099619,0.823370916,0.300566114,0.221367521,0.292656176,0.768174397,0.265431176,0.174077379,0.10571187,6,,
0.35,0.714,0.171064821,0.763473995,0.189738187,0.319081524,0.094481313,0.83892914,0.280727226,0.21025641,0.272501413,0.782671509,0.248059052,0.177582893,0.099266048,7,,
0.35,0.715,0.16012744,0.769993051,0.178180917,0.317396794,0.088526386,0.838896331,0.262915264,0.217628205,0.256507406,0.788103859,0.232403383,0.190499717,0.099552912,8,,
0.35,0.723,0.152415155,0.772709873,0.168050323,0.326574928,0.087394766,0.854513633,0.251656055,0.199145299,0.247319398,0.798014609,0.220765161,0.179434092,0.098933322,9,,
0.35,0.707,0.18172356,0.751322142,0.208015148,0.301062695,0.11643489,0.829286989,0.294437865,0.218717949,0.286558487,0.77272388,0.262417388,0.173591308,0.106435972,10,,
SVM,,,,,,,,,,,,,,,,,
y,acc_mean,acc_std,precision_0_mean,precision_0_std,precision_1_mean,precision_1_std,recall_0_mean,recall_0_std,recall_1_mean,recall_1_std,F1_0_mean,F1_0_std,F1_1_mean,F1_1_std,x_col,,
0.35,0.659,0,0.796992481,0,0.260869565,0,0.757142857,0,0.307692308,0,0.776556777,0,0.282352941,0,1,,
0.4,0.659,0,0.796992481,0,0.260869565,0,0.757142857,0,0.307692308,0,0.776556777,0,0.282352941,0,1,,
0.45,0.659,0,0.796992481,0,0.260869565,0,0.757142857,0,0.307692308,0,0.776556777,0,0.282352941,0,1,,
0.5,0.659,0,0.796992481,0,0.260869565,0,0.757142857,0,0.307692308,0,0.776556777,0,0.282352941,0,1,,
0.35,0.432,0.233425155,0.398496241,0.408848516,0.232529023,0.029076782,0.378571429,0.38840609,0.653846154,0.355146353,0.388278388,0.398365221,0.310741688,0.02912624,2,,
0.4,0.432,0.233425155,0.398496241,0.408848516,0.232529023,0.029076782,0.378571429,0.38840609,0.653846154,0.355146353,0.388278388,0.398365221,0.310741688,0.02912624,2,,
0.45,0.432,0.233425155,0.398496241,0.408848516,0.232529023,0.029076782,0.378571429,0.38840609,0.653846154,0.355146353,0.388278388,0.398365221,0.310741688,0.02912624,2,,
0.5,0.432,0.233425155,0.398496241,0.408848516,0.232529023,0.029076782,0.378571429,0.38840609,0.653846154,0.355146353,0.388278388,0.398365221,0.310741688,0.02912624,2,,
0.45,0.557,0.261208134,0.534958085,0.384765722,0.155019349,0.113946252,0.585714286,0.433144729,0.435897436,0.42534158,0.556763249,0.403366481,0.207161125,0.150842964,3,,
0.5,0.557,0.261208134,0.534958085,0.384765722,0.155019349,0.113946252,0.585714286,0.433144729,0.435897436,0.42534158,0.556763249,0.403366481,0.207161125,0.150842964,3,,
0.45,0.617,0.248420423,0.604586439,0.35355586,0.210014512,0.13769763,0.681569665,0.409609156,0.346153846,0.399134247,0.638699197,0.376354,0.187285738,0.134665599,4,,
0.5,0.617,0.248420423,0.604586439,0.35355586,0.210014512,0.13769763,0.681569665,0.409609156,0.346153846,0.399134247,0.638699197,0.376354,0.187285738,0.134665599,4,,
0.45,0.657,0.235740177,0.648155133,0.327473766,0.234678276,0.132566896,0.743008541,0.385935224,0.282051282,0.378904045,0.690551195,0.351723944,0.1593524,0.132735151,5,,
0.5,0.657,0.235740177,0.648155133,0.327473766,0.234678276,0.132566896,0.743008541,0.385935224,0.282051282,0.378904045,0.690551195,0.351723944,0.1593524,0.132735151,5,,
0.5,0.677,0.219658951,0.669864126,0.302422379,0.19556523,0.149579876,0.785840451,0.364731748,0.235042735,0.361207639,0.721359222,0.327975745,0.132793666,0.134977857,6,,
0.5,0.694,0.207479651,0.689958724,0.284010906,0.22885183,0.160859704,0.812818036,0.343772706,0.212454212,0.338626551,0.744744686,0.308718878,0.132456683,0.124816966,7,,
0.35,0.684,0.188403776,0.711658901,0.270880553,0.315191992,0.055183707,0.781624419,0.306418468,0.28525641,0.288898475,0.743660329,0.285268112,0.227041538,0.093255928,8,,
0.35,0.695,0.180307926,0.720857294,0.256546756,0.324615104,0.058492918,0.803605268,0.295383268,0.259259259,0.282049827,0.758509249,0.272062594,0.211915711,0.097828447,9,,
0.35,0.707,0.175,0.730799215,0.245085077,0.292153594,0.11249607,0.823244741,0.286259427,0.233333333,0.278616271,0.772784907,0.261522771,0.19072414,0.112633332,10,,
GAUSSIAN,,,,,,,,,,,,,,,,,
y,acc_mean,acc_std,precision_0_mean,precision_0_std,precision_1_mean,precision_1_std,recall_0_mean,recall_0_std,recall_1_mean,recall_1_std,F1_0_mean,F1_0_std,F1_1_mean,F1_1_std,x_col,,
0.35,0.776536313,0,0.784090909,0,0.333333333,0,0.985714286,0,0.025641026,0,0.873417722,0,0.047619048,0,1,,
0.4,0.776536313,0,0.784090909,0,0.333333333,0,0.985714286,0,0.025641026,0,0.873417722,0,0.047619048,0,1,,
0.45,0.776536313,0,0.784090909,0,0.333333333,0,0.985714286,0,0.025641026,0,0.873417722,0,0.047619048,0,1,,
0.5,0.776536313,0,0.784090909,0,0.333333333,0,0.985714286,0,0.025641026,0,0.873417722,0,0.047619048,0,1,,
0.4,0.786,0.010,0.789951214,0.006012546,0.166666667,0.170996392,0.992857143,0.007328417,0.012820513,0.013153569,0.879857549,0.006607123,0.023809524,0.024428056,2,,
0.45,0.786,0.010,0.789951214,0.006012546,0.166666667,0.170996392,0.992857143,0.007328417,0.012820513,0.013153569,0.879857549,0.006607123,0.023809524,0.024428056,2,,1.0
0.5,0.786,0.010,0.789951214,0.006012546,0.166666667,0.170996392,0.992857143,0.007328417,0.012820513,0.013153569,0.879857549,0.006607123,0.023809524,0.024428056,2,,
0.4,0.602933678,0.263692399,0.829664446,0.057330052,0.177083333,0.139217762,0.682229965,0.446842371,0.333333333,0.461145328,0.624666937,0.367102556,0.125541126,0.147659557,3,,
0.45,0.602933678,0.263692399,0.808685425,0.027383045,0.176023392,0.139061938,0.684262485,0.443919073,0.324786325,0.448854764,0.628002961,0.36230457,0.123587717,0.144875588,3,,
0.5,0.602933678,0.263692399,0.808685425,0.027383045,0.176023392,0.139061938,0.684262485,0.443919073,0.324786325,0.448854764,0.628002961,0.36230457,0.123587717,0.144875588,3,,
0.4,0.653692796,0.244197026,0.823740871,0.050516805,0.1328125,0.142977027,0.761672474,0.409743775,0.25,0.423669221,0.691640699,0.337654902,0.094155844,0.138721387,4,,
0.45,0.653692796,0.244197026,0.808006606,0.023642854,0.132017544,0.142612098,0.763196864,0.407070097,0.243589744,0.412428504,0.694142717,0.333267026,0.092690788,0.136178011,4,,
0.5,0.653692796,0.244197026,0.808006606,0.023642854,0.132017544,0.142612098,0.763196864,0.407070097,0.243589744,0.412428504,0.694142717,0.333267026,0.092690788,0.136178011,4,,
0.4,0.685166218,0.226948281,0.823921607,0.045069672,0.172916667,0.151113122,0.804843597,0.375810896,0.21025641,0.386407824,0.732232868,0.312199809,0.093102453,0.123777551,5,,
0.45,0.685166218,0.226948281,0.811334195,0.022138233,0.172280702,0.15101119,0.806063109,0.373347775,0.205128205,0.376060447,0.734234482,0.30815711,0.091930408,0.121499913,5,,
0.5,0.685166218,0.226948281,0.811334195,0.022138233,0.172280702,0.15101119,0.806063109,0.373347775,0.205128205,0.376060447,0.734234482,0.30815711,0.091930408,0.121499913,5,,
0.5,0.700706697,0.20977076,0.805846677,0.023667478,0.143567251,0.152090142,0.838385924,0.347959398,0.170940171,0.351276077,0.757761962,0.285797787,0.076608674,0.115990639,6,,
0.5,0.71518152,0.19723528,0.805744038,0.021886812,0.194486216,0.188576069,0.86056949,0.32638013,0.15018315,0.328837581,0.776584312,0.268326539,0.072633218,0.107704215,7,,
0.5,0.724990179,0.186170557,0.804232383,0.020846911,0.170175439,0.187747211,0.877998304,0.308533954,0.131410256,0.311359062,0.790130742,0.253349794,0.063554066,0.103518788,8,,
0.4,0.729628862,0.17595401,0.81119003,0.036615085,0.236468855,0.183709272,0.882916226,0.292638395,0.136752137,0.299467525,0.797096252,0.242968832,0.085022427,0.100335022,9,,
0.45,0.729628862,0.17595401,0.804197023,0.01875232,0.236115541,0.183786981,0.883593733,0.290714101,0.133903134,0.291410618,0.79820826,0.239808701,0.084371291,0.098738269,9,,
0.4,0.738693626,0.1690549,0.812098676,0.034824555,0.21282197,0.188211338,0.894624604,0.279702059,0.123076923,0.286918518,0.807513209,0.232502301,0.076520184,0.098526143,10,,
0.45,0.738693626,0.1690549,0.80580497,0.018429157,0.212503987,0.188239215,0.89523436,0.277866349,0.120512821,0.279235313,0.808514016,0.229488203,0.075934162,0.097013458,10,,
LR,,,,,,,,,,,,,,,,,
y,acc_mean,acc_std,precision_0_mean,precision_0_std,precision_1_mean,precision_1_std,recall_0_mean,recall_0_std,recall_1_mean,recall_1_std,F1_0_mean,F1_0_std,F1_1_mean,F1_1_std,x_col,,
0.35,0.721,0,0.796052632,0,0.296296296,0,0.864285714,0,0.205128205,0,0.828767123,0,0.242424242,0,1,,
