Substrate,Product,Boronic Ester,Active Catalyst-Ligand,Catalyst,Ligand,Buried_Vol,PyramidalizationAR,PyramidalizationG,SASA_area,SASA_vol,Sterimol_L,SterimolB_1,Sterimol_B_5,Buried_Sterimol_L,Buried_SterimolB_1,Buried_Sterimol_B_5,Hirshfeld Heavy Atom Charge,CM5 Charge,Hirshfeld Carbon Charge,Hirshfeld Hydrogen Charge,ESP Heavy Atom Charge,ESP Carbon Charge,ESP Hydrogen Charge,NPA Carbon Charge,NPA Hydrogen Charge,MBS Heavy Atom Charge,MBS Carbon Charge,MBS Hydrogen Charge,Mulliken Heavy Charge,Mulliken Carbon Charge,Mulliken Hydrogen Charge,Solvent,Temp,Aliphatic Atom Count,Aliphatic Bond Count,Aliphatic Ring Count,Aromatic Atom Count,Aromatic Bond Count,Aromatic Ring Count,Steric Effect Index,Atomic_Polarizability,Balaban Index,Chain Atom Count,Distance Degree,Dreiding Energy,Eccentricity,Harary Index,Hydrogen Acceptor Count,Hydrogen Acceptor Site Count,Heteroatom Aromatic Ring Count,Hydrogen Donor Count,Hydrogen Donor Site Count,Hyper Wiener Index,Largest Ring Size,Max Projection Area,Max Projection Radius,MaxZ,Moleculare Polarizability,Platt Index,Refractivity,Ring Atom Count,Rot Bond Count,Sigma Electronegativity,Wiener Index,Product_Ratio
"InChI=1S/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3","InChI=1S/C14H29BO2/c1-6-7-8-9-10-11-12-15-16-13(2,3)14(4,5)17-15/h6-12H2,1-5H3",2,6,1,1,43.1,0.683534883,10.22384447,735.6023812,1441.376195,5.941608224,4.790829903,7.558608097,5.941608224,4.790829903,7.278100225,-0.003389,-0.000578,-0.101759,0.032223,-0.078389,-0.182602,0.032537,-0.57256,0.19272,-0.008908,-0.25419,0.080765,-0.22032,-0.621212,0.132089,2,150,8,7,0,0,0,0,1.193207119,1.116290667,2.530060457,8,28,12.13,7,13.74285714,0,0,0,0,0,210,0,52.55414327,6.587895848,5.713900886,15.52291006,12,38.6102,0,5,7.387930668,84,1
"InChI=1S/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3","InChI=1S/C14H29BO2/c1-7-8-9-10-11-12(2)15-16-13(3,4)14(5,6)17-15/h12H,7-11H2,1-6H3",2,6,1,1,43.1,0.683534883,10.22384447,735.6023812,1441.376195,5.941608224,4.790829903,7.558608097,5.941608224,4.790829903,7.278100225,0.003094,0.000249,-0.057714,0.030404,0.098246,0.182934,-0.042344,-0.38255,0.18757,0.009321,-0.138428,0.073874,0.044556,-0.224805,0.13468,2,150,8,7,0,0,0,0,2.190291667,1.116290667,2.530060457,8,22,12.13,6,13.74285714,0,0,0,0,0,210,0,52.55414327,6.587895848,5.713900886,15.52291006,12,38.6102,0,5,7.470532411,84,0
"InChI=1S/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3","InChI=1S/C14H29BO2/c1-7-9-10-11-12(8-2)15-16-13(3,4)14(5,6)17-15/h12H,7-11H2,1-6H3",2,6,1,1,43.1,0.683534883,10.22384447,735.6023812,1441.376195,5.941608224,4.790829903,7.558608097,5.941608224,4.790829903,7.278100225,-0.000052,-0.000032,-0.059257,0.029602,-0.011526,0.182934,-0.012016,-0.37899,0.18768,-0.000222,-0.141245,0.070512,0.012779,-0.261495,0.137137,2,150,8,7,0,0,0,0,2.310662037,1.116290667,2.530060457,8,18,12.13,5,13.74285714,0,0,0,0,0,210,0,52.55414327,6.587895848,5.713900886,15.52291006,12,38.6102,0,5,7.493893939,84,0
"InChI=1S/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3","InChI=1S/C14H29BO2/c1-7-9-11-12(10-8-2)15-16-13(3,4)14(5,6)17-15/h12H,7-11H2,1-6H3",2,6,1,1,43.1,0.683534883,10.22384447,735.6023812,1441.376195,5.941608224,4.790829903,7.558608097,5.941608224,4.790829903,7.278100225,0.000299,0.000312,-0.058954,0.029626,-0.008331,0.037009,-0.02267,-0.37717,0.18811,-0.000191,-0.141973,0.070891,0.162986,-0.115385,0.139186,2,150,8,7,0,0,0,0,2.339699074,1.116290667,2.530060457,8,16,12.13,4,13.74285714,0,0,0,0,0,210,0,52.55414327,6.587895848,5.713900886,15.52291006,12,38.6102,0,5,7.496148816,84,0
"InChI=1S/C7H15N/c1-2-8-6-4-3-5-7-8/h2-7H2,1H3","InChI=1S/C13H26BNO2/c1-12(2)13(3,4)17-14(16-12)8-11-15-9-6-5-7-10-15/h5-11H2,1-4H3",2,7,3,1,41,1.059975887,9.242505361,814.3726979,1707.085805,6.090975728,5.055852313,9.141999739,6.090975728,5.055852313,7.624077211,0.002028,0.013777,-0.102309,0.036494,-0.043709,-0.156454,0.023226,-0.58186,0.20119,0.006751,-0.255789,0.08557,-0.086611,-0.497717,0.137539,3,150,8,8,1,0,0,0,2.188080704,1.116290667,2.125016255,2,16,21.2,4,15.78333333,1,1,0,0,0,122,6,43.49704751,4.404837064,6.112424719,14.44570056,18,36.8787,6,1,7.937481709,64,1
"InChI=1S/C7H15N/c1-2-8-6-4-3-5-7-8/h2-7H2,1H3","InChI=1S/C13H26BNO2/c1-6-15-10-8-7-9-11(15)14-16-12(2,3)13(4,5)17-14/h11H,6-10H2,1-5H3",2,7,3,1,41,1.059975887,9.242505361,814.3726979,1707.085805,6.090975728,5.055852313,9.141999739,6.090975728,5.055852313,7.624077211,0.042253,0.121244,-0.012832,0.017743,0.134378,0.097984,-0.004796,-0.16728,0.15914,0.106622,-0.029981,0.050205,0.046262,-0.21335,0.124198,3,150,8,8,1,0,0,0,2.297455704,1.116290667,2.125016255,2,14,21.2,3,15.78333333,1,1,0,0,0,122,6,43.49704751,4.404837064,6.112424719,14.44570056,18,36.8787,6,1,7.9634747,64,0
"InChI=1S/C7H15N/c1-2-8-6-4-3-5-7-8/h2-7H2,1H3","InChI=1S/C13H26BNO2/c1-6-15-9-7-8-11(10-15)14-16-12(2,3)13(4,5)17-14/h11H,6-10H2,1-5H3",2,7,3,1,41,1.059975887,9.242505361,814.3726979,1707.085805,6.090975728,5.055852313,9.141999739,6.090975728,5.055852313,7.624077211,0.006004,0.013612,-0.061144,0.032532,-0.0055,-0.001863,0.010003,-0.39069,0.19709,0.01454,-0.14658,0.082783,-0.08714,-0.382222,0.149932,3,150,8,8,1,0,0,0,2.297455704,1.116290667,2.125016255,2,14,21.2,3,15.78333333,1,1,0,0,0,122,6,43.49704751,4.404837064,6.112424719,14.44570056,18,36.8787,6,1,7.9634747,64,0
"InChI=1S/C7H15N/c1-2-8-6-4-3-5-7-8/h2-7H2,1H3","InChI=1S/C13H26BNO2/c1-6-15-9-7-11(8-10-15)14-16-12(2,3)13(4,5)17-14/h11H,6-10H2,1-5H3",2,7,3,1,41,1.059975887,9.242505361,814.3726979,1707.085805,6.090975728,5.055852313,9.141999739,6.090975728,5.055852313,7.624077211,0.000632,0.002812,-0.062043,0.028553,0.069455,0.125496,-0.025879,-0.3836,0.18845,0.003479,-0.147816,0.071914,0.044736,-0.238358,0.140196,3,150,8,8,1,0,0,0,2.320746778,1.116290667,2.125016255,2,16,21.2,4,15.78333333,1,1,0,0,0,122,6,43.49704751,4.404837064,6.112424719,14.44570056,18,36.8787,6,1,7.612676637,64,0
"InChI=1S/C7H15N/c1-2-8-6-4-3-5-7-8/h2-7H2,1H3","InChI=1S/C13H26BNO2/c1-11(15-9-7-6-8-10-15)14-16-12(2,3)13(4,5)17-14/h11H,6-10H2,1-5H3",2,7,3,1,41,1.059975887,9.242505361,814.3726979,1707.085805,6.090975728,5.055852313,9.141999739,6.090975728,5.055852313,7.624077211,0.002028,0.013777,-0.102309,0.019115,-0.043709,-0.156454,-0.048227,-0.58186,0.16103,0.006751,-0.255789,0.055601,-0.086611,-0.497717,0.120212,3,150,8,8,1,0,0,0,2.305046542,1.116290667,2.125016255,2,18,21.15,5,15.78333333,1,1,0,0,0,122,6,43.46315288,4.40247816,6.128416606,14.44570056,18,36.8787,6,1,7.518000473,64,0
"InChI=1S/C7H16/c1-5-6-7(2,3)4/h5-6H2,1-4H3","InChI=1S/C13H27BO2/c1-11(2,3)9-8-10-14-15-12(4,5)13(6,7)16-14/h8-10H2,1-7H3",2,6,1,1,43.1,0.683534883,10.22384447,735.6023812,1441.376195,5.941608224,4.790829903,7.558608097,5.941608224,4.790829903,7.278100225,-0.002998,-0.000359,-0.100893,0.032591,-0.077091,-0.185575,0.037739,-0.56981,0.19258,-0.00837,-0.25337,0.080696,-0.181698,-0.58364,0.132869,3,150,7,6,0,0,0,0,1.427662037,1.116290667,3.154490065,7,14,16.77,4,12.08333333,0,0,0,0,0,84,0,41.05474796,4.681766711,6.229599447,13.67604993,16,33.8309,0,2,7.43452018,46,1
