Substrate,type
"InChI=1S/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3",aliphatic
"InChI=1S/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3",aliphatic
"InChI=1S/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3",aliphatic
"InChI=1S/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3",aliphatic
"InChI=1S/C12H27N/c1-4-7-10-13(11-8-5-2)12-9-6-3/h4-12H2,1-3H3",aliphatic- nitrogen
"InChI=1S/C12H27N/c1-4-7-10-13(11-8-5-2)12-9-6-3/h4-12H2,1-3H3",aliphatic- nitrogen
"InChI=1S/C12H27N/c1-4-7-10-13(11-8-5-2)12-9-6-3/h4-12H2,1-3H3",aliphatic- nitrogen
"InChI=1S/C12H27N/c1-4-7-10-13(11-8-5-2)12-9-6-3/h4-12H2,1-3H3",aliphatic- nitrogen
"InChI=1S/C7H15N/c1-2-8-6-4-3-5-7-8/h2-7H2,1H3",aliphatic- nitrogen
"InChI=1S/C7H15N/c1-2-8-6-4-3-5-7-8/h2-7H2,1H3",aliphatic- nitrogen
"InChI=1S/C7H15N/c1-2-8-6-4-3-5-7-8/h2-7H2,1H3",aliphatic- nitrogen
"InChI=1S/C7H15N/c1-2-8-6-4-3-5-7-8/h2-7H2,1H3",aliphatic- nitrogen
"InChI=1S/C7H15N/c1-2-8-6-4-3-5-7-8/h2-7H2,1H3",aliphatic- nitrogen
"InChI=1S/C7H16/c1-5-6-7(2,3)4/h5-6H2,1-4H3",aliphatic
"InChI=1S/C7H16/c1-5-6-7(2,3)4/h5-6H2,1-4H3",aliphatic
"InChI=1S/C7H16/c1-5-6-7(2,3)4/h5-6H2,1-4H3",aliphatic
"InChI=1S/C7H16/c1-5-6-7(2,3)4/h5-6H2,1-4H3",aliphatic
"InChI=1S/C8H4F6/c9-7(10,11)5-2-1-3-6(4-5)8(12,13)14/h1-4H",ED aromatic
"InChI=1S/C8H4F6/c9-7(10,11)5-2-1-3-6(4-5)8(12,13)14/h1-4H",ED aromatic
"InChI=1S/C8H4F6/c9-7(10,11)5-2-1-3-6(4-5)8(12,13)14/h1-4H",ED aromatic
"InChI=1S/C7H9N/c1-6-4-3-5-7(2)8-6/h3-5H,1-2H3",pyridine and pyrimidine
"InChI=1S/C7H9N/c1-6-4-3-5-7(2)8-6/h3-5H,1-2H3",pyridine and pyrimidine
"InChI=1S/C7H9N/c1-6-4-3-5-7(2)8-6/h3-5H,1-2H3",pyridine and pyrimidine
"InChI=1S/C9H13FSi/c1-11(2)7-8-5-3-4-6-9(8)10/h3-6,11H,7H2,1-2H3",ED aromatic
"InChI=1S/C9H13FSi/c1-11(2)7-8-5-3-4-6-9(8)10/h3-6,11H,7H2,1-2H3",ED aromatic
"InChI=1S/C9H13FSi/c1-11(2)7-8-5-3-4-6-9(8)10/h3-6,11H,7H2,1-2H3",ED aromatic
"InChI=1S/C9H13FSi/c1-11(2)7-8-5-3-4-6-9(8)10/h3-6,11H,7H2,1-2H3",ED aromatic
"InChI=1S/C9H13FSi/c1-11(2)7-8-5-3-4-6-9(8)10/h3-6,11H,7H2,1-2H3",ED aromatic
"InChI=1S/C9H13FSi/c1-11(2)7-8-5-3-4-6-9(8)10/h3-6,11H,7H2,1-2H3",ED aromatic
"InChI=1S/C10H16Si/c1-9(11(2)3)10-7-5-4-6-8-10/h4-9,11H,1-3H3",ER aromatic
"InChI=1S/C10H16Si/c1-9(11(2)3)10-7-5-4-6-8-10/h4-9,11H,1-3H3",ER aromatic
"InChI=1S/C10H16Si/c1-9(11(2)3)10-7-5-4-6-8-10/h4-9,11H,1-3H3",ER aromatic
"InChI=1S/C10H16Si/c1-9(11(2)3)10-7-5-4-6-8-10/h4-9,11H,1-3H3",ER aromatic
"InChI=1S/C10H16Si/c1-9(11(2)3)10-7-5-4-6-8-10/h4-9,11H,1-3H3",ER aromatic
"InChI=1S/C10H16Si/c1-9(11(2)3)10-7-5-4-6-8-10/h4-9,11H,1-3H3",ER aromatic
"InChI=1S/C8H8O2/c1-10-8(9)7-5-3-2-4-6-7/h2-6H,1H3",ED aromatic
"InChI=1S/C8H8O2/c1-10-8(9)7-5-3-2-4-6-7/h2-6H,1H3",ED aromatic
"InChI=1S/C8H8O2/c1-10-8(9)7-5-3-2-4-6-7/h2-6H,1H3",ED aromatic
"InChI=1S/C8H8O2/c1-10-8(9)7-5-3-2-4-6-7/h2-6H,1H3",ED aromatic
"InChI=1S/C9H10O3/c1-11-8-5-3-7(4-6-8)9(10)12-2/h3-6H,1-2H3",ED aromatic
"InChI=1S/C9H10O3/c1-11-8-5-3-7(4-6-8)9(10)12-2/h3-6H,1-2H3",ED aromatic
"InChI=1S/C9H10O3/c1-11-8-5-3-7(4-6-8)9(10)12-2/h3-6H,1-2H3",ED aromatic
"InChI=1S/C9H10O3/c1-11-8-5-3-7(4-6-8)9(10)12-2/h3-6H,1-2H3",ED aromatic
"InChI=1S/C9H7F3O2/c1-14-8(13)6-2-4-7(5-3-6)9(10,11)12/h2-5H,1H3",ED aromatic
"InChI=1S/C9H7F3O2/c1-14-8(13)6-2-4-7(5-3-6)9(10,11)12/h2-5H,1H3",ED aromatic
"InChI=1S/C9H7F3O2/c1-14-8(13)6-2-4-7(5-3-6)9(10,11)12/h2-5H,1H3",ED aromatic
"InChI=1S/C10H12O2/c1-2-5-9(6-3-1)10-11-7-4-8-12-10/h1-3,5-6,10H,4,7-8H2",ER aromatic
"InChI=1S/C10H12O2/c1-2-5-9(6-3-1)10-11-7-4-8-12-10/h1-3,5-6,10H,4,7-8H2",ER aromatic
"InChI=1S/C10H12O2/c1-2-5-9(6-3-1)10-11-7-4-8-12-10/h1-3,5-6,10H,4,7-8H2",ER aromatic
"InChI=1S/C10H12O2/c1-2-5-9(6-3-1)10-11-7-4-8-12-10/h1-3,5-6,10H,4,7-8H2",ER aromatic
"InChI=1S/C10H12O2/c1-2-5-9(6-3-1)10-11-7-4-8-12-10/h1-3,5-6,10H,4,7-8H2",ER aromatic
"InChI=1S/C9H10O2/c1-7-4-3-5-8(6-7)9(10)11-2/h3-6H,1-2H3",ED aromatic
"InChI=1S/C9H10O2/c1-7-4-3-5-8(6-7)9(10)11-2/h3-6H,1-2H3",ED aromatic
"InChI=1S/C9H10O2/c1-7-4-3-5-8(6-7)9(10)11-2/h3-6H,1-2H3",ED aromatic
"InChI=1S/C9H10O2/c1-7-4-3-5-8(6-7)9(10)11-2/h3-6H,1-2H3",ED aromatic
"InChI=1S/C9H10O2/c1-7-4-3-5-8(6-7)9(10)11-2/h3-6H,1-2H3",ED aromatic
"InChI=1S/C9H10O2/c1-7-4-3-5-8(6-7)9(10)11-2/h3-6H,1-2H3",ED aromatic
"InChI=1S/C11H14O/c1-11(2,3)10(12)9-7-5-4-6-8-9/h4-8H,1-3H3",ED aromatic
"InChI=1S/C11H14O/c1-11(2,3)10(12)9-7-5-4-6-8-9/h4-8H,1-3H3",ED aromatic
"InChI=1S/C11H14O/c1-11(2,3)10(12)9-7-5-4-6-8-9/h4-8H,1-3H3",ED aromatic
"InChI=1S/C11H14O/c1-11(2,3)10(12)9-7-5-4-6-8-9/h4-8H,1-3H3",ED aromatic
"InChI=1S/C9H12O2/c1-10-8-11-7-9-5-3-2-4-6-9/h2-6H,7-8H2,1H3",ER aromatic
"InChI=1S/C9H12O2/c1-10-8-11-7-9-5-3-2-4-6-9/h2-6H,7-8H2,1H3",ER aromatic
"InChI=1S/C9H12O2/c1-10-8-11-7-9-5-3-2-4-6-9/h2-6H,7-8H2,1H3",ER aromatic
"InChI=1S/C9H12O2/c1-10-8-11-7-9-5-3-2-4-6-9/h2-6H,7-8H2,1H3",ER aromatic
"InChI=1S/C9H12O2/c1-10-8-11-7-9-5-3-2-4-6-9/h2-6H,7-8H2,1H3",ER aromatic
"InChI=1S/C9H12O2/c1-10-8-11-7-9-5-3-2-4-6-9/h2-6H,7-8H2,1H3",ER aromatic
InChI=1S/C4H4S/c1-2-4-5-3-1/h1-4H,thiophene
InChI=1S/C4H4S/c1-2-4-5-3-1/h1-4H,thiophene
InChI=1S/C4H5N/c1-2-4-5-3-1/h1-5H,pyrrole
InChI=1S/C4H5N/c1-2-4-5-3-1/h1-5H,pyrrole
InChI=1S/C8H6S/c1-2-4-8-7(3-1)5-6-9-8/h1-6H,benzothiophene
InChI=1S/C8H6S/c1-2-4-8-7(3-1)5-6-9-8/h1-6H,benzothiophene
InChI=1S/C8H6S/c1-2-4-8-7(3-1)5-6-9-8/h1-6H,benzothiophene
InChI=1S/C8H6S/c1-2-4-8-7(3-1)5-6-9-8/h1-6H,benzothiophene
InChI=1S/C8H6S/c1-2-4-8-7(3-1)5-6-9-8/h1-6H,benzothiophene
InChI=1S/C8H6S/c1-2-4-8-7(3-1)5-6-9-8/h1-6H,benzothiophene
InChI=1S/C8H6O/c1-2-4-8-7(3-1)5-6-9-8/h1-6H,benzofuran
InChI=1S/C8H6O/c1-2-4-8-7(3-1)5-6-9-8/h1-6H,benzofuran
InChI=1S/C8H6O/c1-2-4-8-7(3-1)5-6-9-8/h1-6H,benzofuran
InChI=1S/C8H6O/c1-2-4-8-7(3-1)5-6-9-8/h1-6H,benzofuran
InChI=1S/C8H6O/c1-2-4-8-7(3-1)5-6-9-8/h1-6H,benzofuran
InChI=1S/C8H6O/c1-2-4-8-7(3-1)5-6-9-8/h1-6H,benzofuran
"InChI=1S/C8H7N/c1-2-4-8-7(3-1)5-6-9-8/h1-6,9H",indole
"InChI=1S/C8H7N/c1-2-4-8-7(3-1)5-6-9-8/h1-6,9H",indole
"InChI=1S/C8H7N/c1-2-4-8-7(3-1)5-6-9-8/h1-6,9H",indole
"InChI=1S/C8H7N/c1-2-4-8-7(3-1)5-6-9-8/h1-6,9H",indole
"InChI=1S/C8H7N/c1-2-4-8-7(3-1)5-6-9-8/h1-6,9H",indole
"InChI=1S/C8H7N/c1-2-4-8-7(3-1)5-6-9-8/h1-6,9H",indole
InChI=1S/C9H7N/c1-2-6-9-8(4-1)5-3-7-10-9/h1-7H,quinoline
InChI=1S/C9H7N/c1-2-6-9-8(4-1)5-3-7-10-9/h1-7H,quinoline
InChI=1S/C9H7N/c1-2-6-9-8(4-1)5-3-7-10-9/h1-7H,quinoline
InChI=1S/C9H7N/c1-2-6-9-8(4-1)5-3-7-10-9/h1-7H,quinoline
InChI=1S/C9H7N/c1-2-6-9-8(4-1)5-3-7-10-9/h1-7H,quinoline
InChI=1S/C9H7N/c1-2-6-9-8(4-1)5-3-7-10-9/h1-7H,quinoline
InChI=1S/C9H7N/c1-2-6-9-8(4-1)5-3-7-10-9/h1-7H,quinoline
"InChI=1S/C5H6S/c1-5-3-2-4-6-5/h2-4H,1H3",thiophene
"InChI=1S/C5H6S/c1-5-3-2-4-6-5/h2-4H,1H3",thiophene
"InChI=1S/C5H6S/c1-5-3-2-4-6-5/h2-4H,1H3",thiophene
"InChI=1S/C5H6S/c1-5-3-2-4-6-5/h2-4H,1H3",thiophene
InChI=1S/C4H3BrS/c5-4-2-1-3-6-4/h1-3H,thiophene
InChI=1S/C4H3BrS/c5-4-2-1-3-6-4/h1-3H,thiophene
InChI=1S/C4H3BrS/c5-4-2-1-3-6-4/h1-3H,thiophene
InChI=1S/C5H3NS/c6-4-5-2-1-3-7-5/h1-3H,thiophene
InChI=1S/C5H3NS/c6-4-5-2-1-3-7-5/h1-3H,thiophene
InChI=1S/C5H3NS/c6-4-5-2-1-3-7-5/h1-3H,thiophene
"InChI=1S/C5H6O/c1-5-3-2-4-6-5/h2-4H,1H3",furan
"InChI=1S/C5H6O/c1-5-3-2-4-6-5/h2-4H,1H3",furan
"InChI=1S/C5H6O/c1-5-3-2-4-6-5/h2-4H,1H3",furan
"InChI=1S/C5H6O/c1-5-3-2-4-6-5/h2-4H,1H3",furan
"InChI=1S/C5H6O2/c1-6-5-3-2-4-7-5/h2-4H,1H3",furan
"InChI=1S/C5H6O2/c1-6-5-3-2-4-7-5/h2-4H,1H3",furan
"InChI=1S/C5H6O2/c1-6-5-3-2-4-7-5/h2-4H,1H3",furan
"InChI=1S/C5H6O2/c1-6-5-3-2-4-7-5/h2-4H,1H3",furan
"InChI=1S/C5H7N/c1-5-3-2-4-6-5/h2-4,6H,1H3",pyrrole
"InChI=1S/C5H7N/c1-5-3-2-4-6-5/h2-4,6H,1H3",pyrrole
"InChI=1S/C5H7N/c1-5-3-2-4-6-5/h2-4,6H,1H3",pyrrole
"InChI=1S/C5H7N/c1-5-3-2-4-6-5/h2-4,6H,1H3",pyrrole
"InChI=1S/C6H7NO2/c1-9-6(8)5-3-2-4-7-5/h2-4,7H,1H3",pyrrole
"InChI=1S/C6H7NO2/c1-9-6(8)5-3-2-4-7-5/h2-4,7H,1H3",pyrrole
"InChI=1S/C6H7NO2/c1-9-6(8)5-3-2-4-7-5/h2-4,7H,1H3",pyrrole
